source,target,count,n_eligible,frequency
mmpl5_Thr794Ile,rv0678_G*128C,15,90,0.16666666666666666
burden_linezolid,ptm_mic,13,80,0.1625
burden_efflux,ptm_mic,13,80,0.1625
mmpl5_Thr794Ile,pepq_Ala87Gly,8,50,0.16
burden_efflux,dlm_mic,14,89,0.15730337078651685
pepq_Ala87Gly,ptm_mic,11,70,0.15714285714285714
rv0678_G*128C,lineage_4,9,60,0.15
mmpl5_Asp767Asn,rv1979c_C*135G,7,48,0.14583333333333334
rv0678_G*128C,pepq_Ala87Gly,10,70,0.14285714285714285
burden_efflux,bdq_mic,14,99,0.1414141414141414
burden_linezolid,burden_efflux,12,89,0.1348314606741573
burden_f420_activation,pepq_Ala87Gly,4,30,0.13333333333333333
rv1979c_C*135G,lnz_mic,4,30,0.13333333333333333
lineage_4,ptm_mic,4,30,0.13333333333333333
rv1979c_C*135G,pepq_Ala87Gly,5,38,0.13157894736842105
rv0678_G*128C,mmpl5_Thr794Ile,5,40,0.125
pepq_Ala87Gly,burden_efflux,4,39,0.10256410256410256
burden_f420_activation,lnz_mic,4,40,0.1
burden_f420_activation,burden_efflux,2,20,0.1
rv1979c_C*135G,burden_f420_activation,1,10,0.1
burden_efflux,pepq_Ala87Gly,1,10,0.1
burden_efflux,mmpl5_Asp767Asn,1,10,0.1
rv0678_G*128C,lnz_mic,2,20,0.1
rv1979c_C*135G,mmpl5_Asp767Asn,3,30,0.1
burden_linezolid,lnz_mic,3,30,0.1
burden_linezolid,mmpl5_Ile948Val,1,10,0.1
burden_linezolid,pepq_Ala87Gly,1,10,0.1
rv0678_G*128C,burden_linezolid,1,10,0.1
mmpl5_Asp767Asn,burden_linezolid,1,10,0.1
pepq_Ala87Gly,rv1979c_C*135G,1,10,0.1
pepq_Ala87Gly,rv0678_G*128C,2,20,0.1
lineage_4,dlm_mic,1,10,0.1
mmpl5_Asp767Asn,lnz_mic,3,30,0.1
lineage_4,cfz_mic,5,50,0.1
mmpl5_Asp767Asn,pepq_Ala87Gly,3,30,0.1
burden_efflux,burden_f420_activation,2,20,0.1
lineage_4,bdq_mic,1,10,0.1
lineage_2,ptm_mic,4,40,0.1
mmpl5_Thr794Ile,burden_efflux,1,10,0.1
mmpl5_Thr794Ile,burden_f420_activation,2,20,0.1
mmpl5_Thr794Ile,burden_linezolid,1,10,0.1
lineage_2,lnz_mic,3,30,0.1
lineage_2,dlm_mic,2,20,0.1
lineage_2,cfz_mic,2,20,0.1
lineage_2,bdq_mic,1,10,0.1
mmpl5_Thr794Ile,lnz_mic,2,20,0.1
fgd1_G*357C,lnz_mic,2,20,0.1
pepq_Ala87Gly,burden_f420_activation,5,50,0.1
fgd1_G*357C,burden_linezolid,1,10,0.1
pepq_Ala87Gly,fgd1_G*357C,2,20,0.1
pepq_Ala87Gly,lineage_2,1,10,0.1
mmpl5_Asp767Asn,fgd1_G*357C,4,40,0.1
burden_linezolid,rv0678_G*128C,1,10,0.1
pepq_Ala87Gly,mmpl5_Thr794Ile,3,30,0.1
pepq_Ala87Gly,lnz_mic,2,20,0.1
