method,p_edge,p,n,k_star,seed,shd,adjacency_precision,adjacency_recall,adjacency_f1,arrowhead_precision,arrowhead_recall,arrowhead_f1
pc,0.1,30,300,5,9,40.0,0.85,0.6071428571428571,0.7083333333333333,0.5135135135135135,0.3877551020408163,0.441860465116279
ges,0.1,30,300,5,9,36.0,0.654320987654321,0.9464285714285714,0.7737226277372262,0.581081081081081,0.8775510204081632,0.6991869918699187
pc,0.1,30,300,5,10,30.0,0.8666666666666667,0.6666666666666666,0.7536231884057971,0.30434782608695654,0.28,0.2916666666666667
ges,0.1,30,300,5,10,28.0,0.8043478260869565,0.9487179487179487,0.8705882352941177,0.45454545454545453,0.8,0.5797101449275363
pc,0.1,30,300,5,11,38.0,0.9090909090909091,0.5660377358490566,0.6976744186046512,0.5666666666666667,0.3541666666666667,0.4358974358974359
ges,0.1,30,300,5,11,93.0,0.37623762376237624,0.7169811320754716,0.49350649350649345,0.2222222222222222,0.4583333333333333,0.29931972789115646
pc,0.1,30,300,5,12,42.0,0.7272727272727273,0.4897959183673469,0.5853658536585367,0.4827586206896552,0.3181818181818182,0.3835616438356164
ges,0.1,30,300,5,12,44.0,0.5897435897435898,0.9387755102040817,0.7244094488188976,0.4605263157894737,0.7954545454545454,0.5833333333333334
pc,0.1,30,300,5,13,13.0,0.9428571428571428,0.825,0.88,0.7857142857142857,0.7333333333333333,0.7586206896551724
ges,0.1,30,300,5,13,15.0,0.8163265306122449,1.0,0.898876404494382,0.6666666666666666,1.0,0.8
pc,0.1,30,300,5,14,30.0,0.9705882352941176,0.717391304347826,0.825,0.5,0.41025641025641024,0.4507042253521127
ges,0.1,30,300,5,14,11.0,0.8363636363636363,1.0,0.9108910891089108,0.7959183673469388,1.0,0.8863636363636364
pc,0.1,30,300,5,15,40.0,0.8275862068965517,0.5217391304347826,0.64,0.42857142857142855,0.21951219512195122,0.29032258064516125
ges,0.1,30,300,5,15,54.0,0.5675675675675675,0.9130434782608695,0.6999999999999998,0.3287671232876712,0.5853658536585366,0.42105263157894735
pc,0.1,30,300,5,16,21.0,0.9032258064516129,0.7567567567567568,0.823529411764706,0.56,0.5384615384615384,0.5490196078431373
ges,0.1,30,300,5,16,28.0,0.7777777777777778,0.9459459459459459,0.8536585365853658,0.42857142857142855,0.6923076923076923,0.5294117647058824
pc,0.1,30,300,5,17,31.0,0.9230769230769231,0.6792452830188679,0.7826086956521738,0.6363636363636364,0.44680851063829785,0.5249999999999999
ges,0.1,30,300,5,17,29.0,0.7123287671232876,0.9811320754716981,0.8253968253968254,0.6056338028169014,0.9148936170212766,0.7288135593220338
pc,0.1,30,300,5,18,26.0,0.8857142857142857,0.6888888888888889,0.775,0.6,0.5,0.5454545454545454
ges,0.1,30,300,5,18,20.0,0.7586206896551724,0.9777777777777777,0.854368932038835,0.6274509803921569,0.8888888888888888,0.735632183908046
pc,0.1,30,300,5,19,35.0,0.8064516129032258,0.5813953488372093,0.6756756756756758,0.45161290322580644,0.3684210526315789,0.40579710144927533
ges,0.1,30,300,5,19,18.0,0.8076923076923077,0.9767441860465116,0.8842105263157894,0.6666666666666666,0.8421052631578947,0.744186046511628
pc,0.2,30,300,5,0,102.0,0.65,0.2653061224489796,0.3768115942028986,0.2702702702702703,0.10752688172043011,0.15384615384615385
ges,0.2,30,300,5,0,138.0,0.44086021505376344,0.8367346938775511,0.5774647887323943,0.34054054054054056,0.6774193548387096,0.45323741007194246
pc,0.2,30,300,5,1,80.0,0.8484848484848485,0.32941176470588235,0.47457627118644063,0.3333333333333333,0.10126582278481013,0.1553398058252427
ges,0.2,30,300,5,1,48.0,0.7053571428571429,0.9294117647058824,0.802030456852792,0.6216216216216216,0.8734177215189873,0.7263157894736841
pc,0.2,30,300,5,2,81.0,0.8666666666666667,0.41935483870967744,0.5652173913043478,0.3953488372093023,0.20481927710843373,0.2698412698412698
ges,0.2,30,300,5,2,83.0,0.6187050359712231,0.9247311827956989,0.7413793103448276,0.45255474452554745,0.7469879518072289,0.5636363636363636
pc,0.2,30,300,5,3,84.0,0.7352941176470589,0.29411764705882354,0.4201680672268907,0.30303030303030304,0.125,0.17699115044247787
ges,0.2,30,300,5,3,144.0,0.3945945945945946,0.8588235294117647,0.5407407407407407,0.2826086956521739,0.65,0.3939393939393939
pc,0.2,30,300,5,4,81.0,0.7631578947368421,0.3372093023255814,0.467741935483871,0.4,0.1686746987951807,0.23728813559322035
ges,0.2,30,300,5,4,111.0,0.4817073170731707,0.9186046511627907,0.6319999999999999,0.36419753086419754,0.7108433734939759,0.4816326530612245
pc,0.2,30,300,5,5,110.0,0.7222222222222222,0.23636363636363636,0.3561643835616438,0.3125,0.09345794392523364,0.14388489208633093
ges,0.2,30,300,5,5,176.0,0.411214953271028,0.8,0.5432098765432098,0.27699530516431925,0.5514018691588785,0.36874999999999997
pc,0.2,30,300,5,6,93.0,0.782608695652174,0.18556701030927836,0.3,0.5555555555555556,0.053763440860215055,0.09803921568627452
ges,0.2,30,300,5,6,139.0,0.4378698224852071,0.7628865979381443,0.556390977443609,0.296969696969697,0.5268817204301075,0.3798449612403101
pc,0.2,30,300,5,7,73.0,0.8787878787878788,0.3372093023255814,0.48739495798319327,0.5161290322580645,0.19047619047619047,0.27826086956521734
ges,0.2,30,300,5,7,139.0,0.4101123595505618,0.8488372093023255,0.553030303030303,0.29714285714285715,0.6190476190476191,0.4015444015444016
pc,0.2,30,300,5,8,96.0,0.8709677419354839,0.2571428571428571,0.3970588235294117,0.48,0.11650485436893204,0.18750000000000003
ges,0.2,30,300,5,8,183.0,0.4088669950738916,0.7904761904761904,0.538961038961039,0.208955223880597,0.4077669902912621,0.27631578947368424
pc,0.2,30,300,5,9,98.0,0.7575757575757576,0.2403846153846154,0.36496350364963503,0.46153846153846156,0.12,0.19047619047619047
ges,0.2,30,300,5,9,131.0,0.4827586206896552,0.8076923076923077,0.60431654676259,0.3567251461988304,0.61,0.4501845018450184
pc,0.2,30,300,5,10,73.0,0.7647058823529411,0.33766233766233766,0.4684684684684685,0.3333333333333333,0.14084507042253522,0.19801980198019803
ges,0.2,30,300,5,10,68.0,0.6271186440677966,0.961038961038961,0.758974358974359,0.45132743362831856,0.7183098591549296,0.5543478260869565
pc,0.2,30,300,5,11,93.0,0.7297297297297297,0.28125,0.40601503759398494,0.34285714285714286,0.13043478260869565,0.1889763779527559
ges,0.2,30,300,5,11,184.0,0.35323383084577115,0.7395833333333334,0.47811447811447816,0.20603015075376885,0.44565217391304346,0.281786941580756
pc,0.2,30,300,5,12,90.0,0.8064516129032258,0.2631578947368421,0.3968253968253968,0.34615384615384615,0.0989010989010989,0.15384615384615385
ges,0.2,30,300,5,12,151.0,0.4176470588235294,0.7473684210526316,0.5358490566037736,0.2529411764705882,0.4725274725274725,0.32950191570881227
pc,0.2,30,300,5,13,79.0,0.90625,0.3411764705882353,0.4957264957264957,0.391304347826087,0.10975609756097561,0.17142857142857143
ges,0.2,30,300,5,13,21.0,0.8383838383838383,0.9764705882352941,0.9021739130434783,0.8125,0.9512195121951219,0.8764044943820225
pc,0.2,30,300,5,14,78.0,0.7647058823529411,0.30952380952380953,0.4406779661016949,0.4666666666666667,0.16666666666666666,0.2456140350877193
ges,0.2,30,300,5,14,125.0,0.4260355029585799,0.8571428571428571,0.5691699604743083,0.33136094674556216,0.6666666666666666,0.4426877470355732
pc,0.2,30,300,5,15,86.0,0.75,0.2967032967032967,0.42519685039370075,0.4117647058823529,0.16279069767441862,0.23333333333333336
ges,0.2,30,300,5,15,179.0,0.3553299492385787,0.7692307692307693,0.48611111111111116,0.19796954314720813,0.45348837209302323,0.2756183745583039
pc,0.2,30,300,5,16,77.0,0.7586206896551724,0.2716049382716049,0.39999999999999997,0.4230769230769231,0.1375,0.20754716981132076
ges,0.2,30,300,5,16,153.0,0.38333333333333336,0.8518518518518519,0.5287356321839081,0.21666666666666667,0.4875,0.3
pc,0.2,30,300,5,17,94.0,0.6976744186046512,0.30303030303030304,0.4225352112676056,0.425,0.18085106382978725,0.2537313432835821
ges,0.2,30,300,5,17,189.0,0.3480392156862745,0.7171717171717171,0.4686468646864686,0.2107843137254902,0.4574468085106383,0.28859060402684567
pc,0.2,30,300,5,18,82.0,0.8387096774193549,0.2826086956521739,0.4227642276422764,0.6,0.16304347826086957,0.25641025641025644
ges,0.2,30,300,5,18,135.0,0.42780748663101603,0.8695652173913043,0.5734767025089605,0.34408602150537637,0.6956521739130435,0.46043165467625896
pc,0.2,30,300,5,19,83.0,0.6470588235294118,0.2619047619047619,0.37288135593220334,0.40625,0.15853658536585366,0.22807017543859648
ges,0.2,30,300,5,19,84.0,0.5491803278688525,0.7976190476190477,0.6504854368932039,0.453781512605042,0.6585365853658537,0.5373134328358209
pc,0.3,30,300,5,0,149.0,0.6176470588235294,0.14788732394366197,0.23863636363636365,0.18518518518518517,0.037037037037037035,0.061728395061728385
ges,0.3,30,300,5,0,250.0,0.3951612903225806,0.6901408450704225,0.5025641025641027,0.17355371900826447,0.3111111111111111,0.22281167108753316
pc,0.3,30,300,5,1,122.0,0.8125,0.203125,0.325,0.39285714285714285,0.08943089430894309,0.14569536423841062
ges,0.3,30,300,5,1,217.0,0.41025641025641024,0.75,0.5303867403314918,0.20600858369098712,0.3902439024390244,0.2696629213483146
pc,0.3,30,300,5,2,137.0,0.6875,0.16058394160583941,0.2603550295857988,0.3103448275862069,0.06870229007633588,0.1125
ges,0.3,30,300,5,2,220.0,0.4024390243902439,0.7226277372262774,0.5169712793733682,0.2601626016260163,0.48854961832061067,0.3395225464190982
pc,0.3,30,300,5,3,132.0,0.6785714285714286,0.14728682170542637,0.24203821656050956,0.23076923076923078,0.047619047619047616,0.07894736842105264
ges,0.3,30,300,5,3,200.0,0.4434782608695652,0.7906976744186046,0.5682451253481894,0.24890829694323144,0.4523809523809524,0.3211267605633803
pc,0.3,30,300,5,4,132.0,0.6206896551724138,0.13740458015267176,0.225,0.42857142857142855,0.06923076923076923,0.11920529801324503
ges,0.3,30,300,5,4,213.0,0.42424242424242425,0.7480916030534351,0.5414364640883979,0.22077922077922077,0.3923076923076923,0.2825484764542936
pc,0.3,30,300,5,5,155.0,0.5769230769230769,0.09868421052631579,0.16853932584269662,0.3888888888888889,0.046357615894039736,0.08284023668639053
ges,0.3,30,300,5,5,206.0,0.47547169811320755,0.8289473684210527,0.6043165467625901,0.3181818181818182,0.5562913907284768,0.40481927710843374
pc,0.3,30,300,5,6,142.0,0.8076923076923077,0.14893617021276595,0.25149700598802394,0.2,0.028985507246376812,0.05063291139240506
ges,0.3,30,300,5,6,240.0,0.3884297520661157,0.6666666666666666,0.49086161879895557,0.20253164556962025,0.34782608695652173,0.256
pc,0.3,30,300,5,7,135.0,0.5714285714285714,0.125,0.20512820512820512,0.20833333333333334,0.04032258064516129,0.06756756756756756
ges,0.3,30,300,5,7,224.0,0.3547008547008547,0.6484375,0.4585635359116022,0.23504273504273504,0.4435483870967742,0.30726256983240224
pc,0.3,30,300,5,8,145.0,0.76,0.1310344827586207,0.2235294117647059,0.25,0.027972027972027972,0.050314465408805034
ges,0.3,30,300,5,8,253.0,0.3816793893129771,0.6896551724137931,0.49140049140049147,0.2076923076923077,0.3776223776223776,0.2679900744416873
pc,0.3,30,300,5,9,149.0,0.7272727272727273,0.1610738255033557,0.26373626373626374,0.2903225806451613,0.060810810810810814,0.1005586592178771
ges,0.3,30,300,5,9,217.0,0.42338709677419356,0.7046979865771812,0.5289672544080605,0.29959514170040485,0.5,0.37468354430379747
pc,0.3,30,300,5,10,120.0,0.7,0.17796610169491525,0.28378378378378377,0.28,0.06086956521739131,0.1
ges,0.3,30,300,5,10,217.0,0.3930131004366812,0.7627118644067796,0.5187319884726224,0.17467248908296942,0.34782608695652173,0.23255813953488372
pc,0.3,30,300,5,11,140.0,0.696969696969697,0.1619718309859155,0.26285714285714284,0.375,0.08695652173913043,0.1411764705882353
ges,0.3,30,300,5,11,207.0,0.4409448818897638,0.7887323943661971,0.5656565656565656,0.30434782608695654,0.5579710144927537,0.39386189258312027
pc,0.3,30,300,5,12,140.0,0.6470588235294118,0.15714285714285714,0.2528735632183908,0.3548387096774194,0.07971014492753623,0.1301775147928994
ges,0.3,30,300,5,12,218.0,0.4189723320158103,0.7571428571428571,0.539440203562341,0.27710843373493976,0.5,0.35658914728682173
pc,0.3,30,300,5,13,128.0,0.6333333333333333,0.1532258064516129,0.24675324675324678,0.3,0.04918032786885246,0.08450704225352113
ges,0.3,30,300,5,13,253.0,0.3436293436293436,0.717741935483871,0.46475195822454307,0.1583011583011583,0.3360655737704918,0.2152230971128609
pc,0.3,30,300,5,14,133.0,0.631578947368421,0.09022556390977443,0.15789473684210525,0.36363636363636365,0.031007751937984496,0.05714285714285714
ges,0.3,30,300,5,14,178.0,0.47393364928909953,0.7518796992481203,0.5813953488372093,0.3127962085308057,0.5116279069767442,0.38823529411764707
pc,0.3,30,300,5,15,140.0,0.5428571428571428,0.13970588235294118,0.2222222222222222,0.3235294117647059,0.08396946564885496,0.13333333333333333
ges,0.3,30,300,5,15,218.0,0.412,0.7573529411764706,0.533678756476684,0.26104417670682734,0.4961832061068702,0.3421052631578948
pc,0.3,30,300,5,16,128.0,0.5161290322580645,0.1322314049586777,0.21052631578947367,0.34782608695652173,0.06722689075630252,0.11267605633802817
ges,0.3,30,300,5,16,196.0,0.4217391304347826,0.8016528925619835,0.5527065527065528,0.25217391304347825,0.48739495798319327,0.332378223495702
pc,0.3,30,300,5,17,140.0,0.7878787878787878,0.18181818181818182,0.29545454545454547,0.32142857142857145,0.0661764705882353,0.10975609756097561
ges,0.3,30,300,5,17,273.0,0.37410071942446044,0.7272727272727273,0.4940617577197149,0.15827338129496402,0.3235294117647059,0.21256038647342998
pc,0.3,30,300,5,18,133.0,0.7272727272727273,0.17777777777777778,0.2857142857142857,0.36666666666666664,0.08148148148148149,0.13333333333333336
ges,0.3,30,300,5,18,267.0,0.35815602836879434,0.7481481481481481,0.4844124700239808,0.17437722419928825,0.362962962962963,0.2355769230769231
pc,0.3,30,300,5,19,120.0,0.896551724137931,0.2047244094488189,0.3333333333333333,0.38461538461538464,0.08064516129032258,0.13333333333333333
ges,0.3,30,300,5,19,166.0,0.4672489082969432,0.84251968503937,0.6011235955056179,0.36123348017621143,0.6612903225806451,0.46723646723646717
pc,0.4,30,300,5,0,183.0,0.7142857142857143,0.10810810810810811,0.18779342723004697,0.32,0.0446927374301676,0.0784313725490196
ges,0.4,30,300,5,0,243.0,0.48226950354609927,0.7351351351351352,0.582441113490364,0.3142857142857143,0.49162011173184356,0.383442265795207
pc,0.4,30,300,5,1,171.0,0.6666666666666666,0.11695906432748537,0.19900497512437812,0.3448275862068966,0.06097560975609756,0.10362694300518134
ges,0.4,30,300,5,1,202.0,0.5130111524163569,0.8070175438596491,0.6272727272727272,0.373134328358209,0.6097560975609756,0.4629629629629629
pc,0.4,30,300,5,2,185.0,0.5,0.061452513966480445,0.10945273631840796,0.2,0.017241379310344827,0.031746031746031744
ges,0.4,30,300,5,2,252.0,0.45955882352941174,0.6983240223463687,0.5543237250554324,0.2730627306273063,0.42528735632183906,0.3325842696629214
pc,0.4,30,300,5,3,165.0,0.8,0.11695906432748537,0.2040816326530612,0.5,0.0658682634730539,0.11640211640211642
ges,0.4,30,300,5,3,209.0,0.48863636363636365,0.7543859649122807,0.5931034482758621,0.36742424242424243,0.5808383233532934,0.45011600928074247
pc,0.4,30,300,5,4,173.0,0.6666666666666666,0.09302325581395349,0.16326530612244897,0.3684210526315789,0.04093567251461988,0.07368421052631578
ges,0.4,30,300,5,4,298.0,0.38620689655172413,0.6511627906976745,0.48484848484848475,0.18055555555555555,0.30409356725146197,0.22657952069716775
pc,0.4,30,300,5,5,197.0,0.6470588235294118,0.1111111111111111,0.1896551724137931,0.3939393939393939,0.06565656565656566,0.11255411255411257
ges,0.4,30,300,5,5,227.0,0.5447761194029851,0.7373737373737373,0.6266094420600858,0.34962406015037595,0.4696969696969697,0.40086206896551724
pc,0.4,30,300,5,6,187.0,0.6666666666666666,0.06521739130434782,0.11881188118811882,0.23076923076923078,0.01639344262295082,0.030612244897959186
ges,0.4,30,300,5,6,260.0,0.4423791821561338,0.6467391304347826,0.5253863134657837,0.27611940298507465,0.40437158469945356,0.328159645232816
pc,0.4,30,300,5,7,179.0,0.5555555555555556,0.05747126436781609,0.10416666666666666,0.23076923076923078,0.01764705882352941,0.03278688524590164
ges,0.4,30,300,5,7,262.0,0.4421768707482993,0.7471264367816092,0.5555555555555556,0.25259515570934254,0.4294117647058823,0.31808278867102396
pc,0.4,30,300,5,8,195.0,0.6666666666666666,0.09424083769633508,0.1651376146788991,0.23529411764705882,0.021164021164021163,0.038834951456310676
ges,0.4,30,300,5,8,250.0,0.48698884758364314,0.6858638743455497,0.5695652173913044,0.2981132075471698,0.41798941798941797,0.34801762114537443
pc,0.4,30,300,5,9,193.0,0.6666666666666666,0.07179487179487179,0.12962962962962962,0.4444444444444444,0.041884816753926704,0.07655502392344497
ges,0.4,30,300,5,9,278.0,0.4738675958188153,0.6974358974358974,0.5643153526970955,0.23693379790940766,0.35602094240837695,0.28451882845188287
pc,0.4,30,300,5,10,162.0,0.64,0.09815950920245399,0.1702127659574468,0.47619047619047616,0.0625,0.11049723756906077
ges,0.4,30,300,5,10,248.0,0.4490566037735849,0.7300613496932515,0.5560747663551402,0.23018867924528302,0.38125,0.2870588235294117
pc,0.4,30,300,5,11,181.0,0.6363636363636364,0.11413043478260869,0.1935483870967742,0.4838709677419355,0.08241758241758242,0.1408450704225352
ges,0.4,30,300,5,11,283.0,0.45229681978798586,0.6956521739130435,0.5481798715203425,0.1978798586572438,0.3076923076923077,0.24086021505376345
pc,0.4,30,300,5,12,180.0,0.7692307692307693,0.10989010989010989,0.19230769230769232,0.38095238095238093,0.044444444444444446,0.07960199004975126
ges,0.4,30,300,5,12,267.0,0.4379310344827586,0.6978021978021978,0.538135593220339,0.2698961937716263,0.43333333333333335,0.3326226012793177
pc,0.4,30,300,5,13,166.0,0.7391304347826086,0.10303030303030303,0.18085106382978725,0.23529411764705882,0.024539877300613498,0.044444444444444446
ges,0.4,30,300,5,13,260.0,0.4166666666666667,0.7575757575757576,0.5376344086021506,0.26755852842809363,0.49079754601226994,0.3463203463203463
pc,0.4,30,300,5,14,171.0,0.7666666666666667,0.13142857142857142,0.224390243902439,0.35714285714285715,0.05917159763313609,0.1015228426395939
ges,0.4,30,300,5,14,279.0,0.4216417910447761,0.6457142857142857,0.5101580135440181,0.18796992481203006,0.2958579881656805,0.22988505747126436
pc,0.4,30,300,5,15,176.0,0.7777777777777778,0.07909604519774012,0.14358974358974358,0.38461538461538464,0.028901734104046242,0.05376344086021506
ges,0.4,30,300,5,15,274.0,0.44274809160305345,0.655367231638418,0.5284738041002278,0.18773946360153257,0.2832369942196532,0.22580645161290322
pc,0.4,30,300,5,16,170.0,0.38095238095238093,0.050314465408805034,0.0888888888888889,0.14285714285714285,0.012658227848101266,0.023255813953488372
ges,0.4,30,300,5,16,245.0,0.42424242424242425,0.7044025157232704,0.5295508274231678,0.2509505703422053,0.4177215189873418,0.31353919239904987
pc,0.4,30,300,5,17,182.0,0.8846153846153846,0.12365591397849462,0.2169811320754717,0.30434782608695654,0.038461538461538464,0.06829268292682927
ges,0.4,30,300,5,17,224.0,0.5112781954887218,0.7311827956989247,0.6017699115044248,0.33587786259541985,0.4835164835164835,0.3963963963963964
pc,0.4,30,300,5,18,176.0,0.8666666666666667,0.07303370786516854,0.13471502590673576,0.75,0.01694915254237288,0.03314917127071824
ges,0.4,30,300,5,18,270.0,0.436241610738255,0.7303370786516854,0.546218487394958,0.2558922558922559,0.4293785310734463,0.32067510548523204
pc,0.4,30,300,5,19,163.0,0.8,0.13953488372093023,0.2376237623762376,0.5,0.0658682634730539,0.11640211640211642
ges,0.4,30,300,5,19,194.0,0.5158730158730159,0.7558139534883721,0.6132075471698114,0.398406374501992,0.5988023952095808,0.47846889952153104
pc,0.5,30,300,5,0,230.0,0.75,0.05217391304347826,0.09756097560975609,0.4444444444444444,0.018018018018018018,0.03463203463203463
ges,0.5,30,300,5,0,289.0,0.5104166666666666,0.6391304347826087,0.5675675675675675,0.2765957446808511,0.35135135135135137,0.30952380952380953
pc,0.5,30,300,5,1,210.0,0.7619047619047619,0.07441860465116279,0.13559322033898305,0.5555555555555556,0.047619047619047616,0.08771929824561402
ges,0.5,30,300,5,1,265.0,0.509375,0.7581395348837209,0.6093457943925233,0.33647798742138363,0.5095238095238095,0.4053030303030302
pc,0.5,30,300,5,2,227.0,0.6190476190476191,0.05829596412556054,0.10655737704918035,0.2222222222222222,0.0182648401826484,0.03375527426160337
ges,0.5,30,300,5,2,252.0,0.5448275862068965,0.7085201793721974,0.6159844054580896,0.3576388888888889,0.4703196347031963,0.4063116370808678
pc,0.5,30,300,5,3,222.0,0.6470588235294118,0.10091743119266056,0.17460317460317462,0.25,0.037209302325581395,0.06477732793522267
ges,0.5,30,300,5,3,270.0,0.53125,0.7018348623853211,0.6047430830039525,0.289198606271777,0.386046511627907,0.33067729083665337
pc,0.5,30,300,5,4,218.0,0.7142857142857143,0.046296296296296294,0.08695652173913043,0.4,0.009345794392523364,0.0182648401826484
ges,0.5,30,300,5,4,302.0,0.4966216216216216,0.6805555555555556,0.5742187499999999,0.21575342465753425,0.29439252336448596,0.24901185770750986
pc,0.5,30,300,5,5,242.0,0.6071428571428571,0.07024793388429752,0.12592592592592594,0.4,0.04149377593360996,0.07518796992481203
ges,0.5,30,300,5,5,260.0,0.5743944636678201,0.6859504132231405,0.6252354048964219,0.36713286713286714,0.43568464730290457,0.3984819734345351
pc,0.5,30,300,5,6,227.0,0.7692307692307693,0.043859649122807015,0.08298755186721991,0.5,0.017543859649122806,0.033898305084745756
ges,0.5,30,300,5,6,282.0,0.5298245614035088,0.6622807017543859,0.5886939571150096,0.2826855123674912,0.3508771929824561,0.3131115459882583
pc,0.5,30,300,5,7,217.0,0.625,0.04672897196261682,0.08695652173913043,0.2222222222222222,0.009523809523809525,0.018264840182648404
ges,0.5,30,300,5,7,247.0,0.5473684210526316,0.7289719626168224,0.625250501002004,0.3368421052631579,0.45714285714285713,0.3878787878787879
pc,0.5,30,300,5,8,231.0,0.8181818181818182,0.07659574468085106,0.14007782101167315,0.4666666666666667,0.030303030303030304,0.05691056910569106
ges,0.5,30,300,5,8,273.0,0.543859649122807,0.6595744680851063,0.5961538461538461,0.32269503546099293,0.3939393939393939,0.354775828460039
pc,0.5,30,300,5,9,240.0,0.7692307692307693,0.04184100418410042,0.07936507936507936,0.2222222222222222,0.00851063829787234,0.01639344262295082
ges,0.5,30,300,5,9,306.0,0.5614035087719298,0.6694560669456067,0.6106870229007634,0.2049469964664311,0.24680851063829787,0.22393822393822393
pc,0.5,30,300,5,10,210.0,0.6,0.04390243902439024,0.08181818181818182,0.09090909090909091,0.004901960784313725,0.009302325581395349
ges,0.5,30,300,5,10,286.0,0.4855072463768116,0.6536585365853659,0.5571725571725572,0.22262773722627738,0.29901960784313725,0.25523012552301255
pc,0.5,30,300,5,11,232.0,0.6111111111111112,0.048034934497816595,0.08906882591093117,0.3333333333333333,0.017543859649122806,0.03333333333333333
ges,0.5,30,300,5,11,281.0,0.5335820895522388,0.6244541484716157,0.5754527162977868,0.2696629213483146,0.3157894736842105,0.2909090909090909
pc,0.5,30,300,5,12,217.0,1.0,0.09777777777777778,0.17813765182186236,0.4117647058823529,0.03125,0.058091286307053944
ges,0.5,30,300,5,12,289.0,0.5274725274725275,0.64,0.5783132530120482,0.23897058823529413,0.29017857142857145,0.26209677419354843
pc,0.5,30,300,5,13,209.0,0.6666666666666666,0.0761904761904762,0.13675213675213674,0.42105263157894735,0.038461538461538464,0.07048458149779736
ges,0.5,30,300,5,13,268.0,0.47703180212014135,0.6428571428571429,0.5476673427991886,0.3191489361702128,0.4326923076923077,0.3673469387755102
pc,0.5,30,300,5,14,210.0,0.875,0.09767441860465116,0.17573221757322174,0.4375,0.03317535545023697,0.06167400881057269
ges,0.5,30,300,5,14,285.0,0.5067114093959731,0.7023255813953488,0.5886939571150097,0.25838926174496646,0.36492890995260663,0.3025540275049116
pc,0.5,30,300,5,15,220.0,0.6875,0.049773755656108594,0.09282700421940927,0.5454545454545454,0.027522935779816515,0.05240174672489083
ges,0.5,30,300,5,15,253.0,0.5488215488215489,0.7375565610859729,0.6293436293436294,0.34459459459459457,0.46788990825688076,0.3968871595330739
pc,0.5,30,300,5,16,208.0,0.6666666666666666,0.09803921568627451,0.17094017094017092,0.24,0.03,0.05333333333333333
ges,0.5,30,300,5,16,278.0,0.4931506849315068,0.7058823529411765,0.5806451612903226,0.2517241379310345,0.365,0.2979591836734694
pc,0.5,30,300,5,17,225.0,0.75,0.09170305676855896,0.1634241245136187,0.4,0.04524886877828054,0.08130081300813008
ges,0.5,30,300,5,17,276.0,0.5381679389312977,0.6157205240174672,0.5743380855397148,0.2824427480916031,0.334841628959276,0.30641821946169767
pc,0.5,30,300,5,18,222.0,0.8666666666666667,0.05855855855855856,0.10970464135021098,0.2857142857142857,0.00909090909090909,0.017621145374449337
