seed,corruption,mu_star_rel,S_precision,S_recall,correlate_inclusion,auc_star
9,0.1,1.0,0.375,0.6,0.0,0.9995555555555555
9,0.2,1.0,0.375,0.6,0.0,1.0
9,0.3,1.0,0.4444444444444444,0.8,0.0,1.0
9,0.4,1.0,0.8333333333333334,1.0,0.0,0.9997777777777778
9,0.5,1.0,0.4444444444444444,0.8,0.0,1.0
9,0.6,1.0,0.375,0.6,0.0,0.9993333333333332
9,0.7,1.0,0.3333333333333333,0.4,0.0,0.9984444444444444
9,0.8,1.0,0.2857142857142857,0.4,0.14285714285714285,0.9984444444444446
9,0.9,1.0,0.125,0.2,0.125,0.9986666666666666
9,1.0,1.0,0.1,0.2,0.2,0.9922222222222222
10,0.0,1.0,0.5555555555555556,1.0,0.0,0.9964444444444445
10,0.1,1.0,0.5555555555555556,1.0,0.0,0.998
10,0.2,1.0,0.7142857142857143,1.0,0.0,0.9971111111111111
10,0.3,1.0,0.7142857142857143,1.0,0.0,0.9964444444444445
10,0.4,1.0,0.7142857142857143,1.0,0.0,0.9937777777777779
10,0.5,1.0,0.7142857142857143,1.0,0.0,0.9935555555555556
10,0.6,1.0,0.7142857142857143,1.0,0.0,0.9968888888888889
10,0.7,1.0,0.625,1.0,0.0,0.9968888888888889
10,0.8,1.0,0.625,1.0,0.0,0.9935555555555556
10,0.9,1.0,0.4,0.8,0.3,0.9835555555555556
10,1.0,1.0,0.25,0.4,0.125,0.9844444444444445
11,0.0,1.0,0.42857142857142855,0.6,0.0,0.9997777777777778
11,0.1,1.0,0.42857142857142855,0.6,0.0,0.9997777777777778
11,0.2,1.0,0.42857142857142855,0.6,0.0,0.9991111111111112
11,0.3,1.0,0.375,0.6,0.125,0.9986666666666666
11,0.4,1.0,0.375,0.6,0.0,0.9982222222222223
11,0.5,1.0,0.5714285714285714,0.8,0.0,0.9991111111111112
11,0.6,1.0,0.125,0.2,0.125,0.9968888888888889
11,0.7,1.0,0.4,0.8,0.1,0.9975555555555555
11,0.8,1.0,0.4,0.8,0.1,0.9973333333333333
11,0.9,1.0,0.2,0.4,0.1,0.9971111111111112
11,1.0,1.0,0.2,0.4,0.1,1.0
12,0.0,1.0,0.5714285714285714,0.8,0.0,0.9498888888888889
12,0.1,1.0,0.6666666666666666,0.8,0.0,0.9331111111111111
12,0.2,1.0,0.2857142857142857,0.4,0.2857142857142857,0.9928888888888888
12,0.3,1.0,0.3333333333333333,0.6,0.1111111111111111,0.9955555555555555
12,0.4,1.0,0.4444444444444444,0.8,0.1111111111111111,0.9968888888888889
12,0.5,1.0,0.5,0.6,0.0,0.9988888888888889
12,0.6,1.0,0.3333333333333333,0.6,0.1111111111111111,0.9942222222222223
12,0.7,1.0,0.3333333333333333,0.6,0.2222222222222222,0.994
12,0.8,1.0,0.2857142857142857,0.4,0.14285714285714285,0.9951111111111111
12,0.9,1.0,0.125,0.2,0.25,0.9902222222222221
12,1.0,1.0,0.2222222222222222,0.4,0.3333333333333333,0.9888888888888889
13,0.0,1.0,0.8333333333333334,1.0,0.0,0.9924444444444445
13,0.1,1.0,0.8333333333333334,1.0,0.0,0.9924444444444445
13,0.2,1.0,0.7142857142857143,1.0,0.0,0.9964444444444446
13,0.3,1.0,0.7142857142857143,1.0,0.0,0.9933333333333334
13,0.4,1.0,0.7142857142857143,1.0,0.0,0.992
13,0.5,1.0,0.8333333333333334,1.0,0.0,0.9973333333333333
13,0.6,1.0,0.6666666666666666,0.8,0.0,0.9913333333333334
13,0.7,1.0,0.5714285714285714,0.8,0.0,0.9948888888888888
13,0.8,1.0,0.5714285714285714,0.8,0.0,0.9935555555555556
13,0.9,1.0,0.5,0.8,0.0,0.9691111111111113
13,1.0,1.0,0.5714285714285714,0.8,0.0,0.9697777777777778
14,0.0,1.0,0.5,0.8,0.25,0.9988888888888889
14,0.1,1.0,0.5714285714285714,0.8,0.14285714285714285,0.9986666666666666
14,0.2,1.0,0.6666666666666666,0.8,0.16666666666666666,0.9993333333333332
14,0.3,1.0,0.625,1.0,0.125,0.9988888888888889
14,0.4,1.0,0.5555555555555556,1.0,0.2222222222222222,0.9982222222222223
14,0.5,1.0,0.4444444444444444,0.8,0.3333333333333333,0.9982222222222223
14,0.6,1.0,0.375,0.6,0.375,0.9966666666666667
14,0.7,1.0,0.25,0.4,0.375,0.9962222222222223
14,0.8,1.0,0.2,0.4,0.2,0.9973333333333333
14,0.9,1.0,0.2222222222222222,0.4,0.2222222222222222,0.9977777777777778
14,1.0,1.0,0.1,0.2,0.3,0.9975555555555555
15,0.0,1.0,0.8333333333333334,1.0,0.0,0.9973333333333333
15,0.1,1.0,0.7142857142857143,1.0,0.0,0.994
15,0.2,1.0,1.0,1.0,0.0,0.9946666666666667
15,0.3,1.0,0.8333333333333334,1.0,0.0,0.9940000000000001
15,0.4,1.0,0.8333333333333334,1.0,0.0,0.9951111111111113
15,0.5,1.0,0.8333333333333334,1.0,0.0,0.9888888888888889
15,0.6,1.0,0.7142857142857143,1.0,0.0,0.9933333333333334
15,0.7,1.0,0.7142857142857143,1.0,0.0,0.9893333333333334
15,0.8,1.0,0.75,0.6,0.0,0.9855555555555554
15,0.9,1.0,0.75,0.6,0.0,0.9864444444444445
15,1.0,1.0,0.75,0.6,0.0,0.99
16,0.0,1.0,0.625,1.0,0.25,0.9968888888888889
16,0.1,1.0,0.7142857142857143,1.0,0.0,0.998
16,0.2,1.0,0.7142857142857143,1.0,0.14285714285714285,0.9982222222222223
16,0.3,1.0,0.625,1.0,0.125,0.9988888888888889
16,0.4,1.0,0.625,1.0,0.375,0.9968888888888889
16,0.5,1.0,0.5,0.8,0.375,0.9988888888888889
16,0.6,1.0,0.42857142857142855,0.6,0.2857142857142857,0.9984444444444444
16,0.7,1.0,0.6,0.6,0.2,0.9964444444444445
16,0.8,1.0,0.3333333333333333,0.4,0.3333333333333333,0.9968888888888889
16,0.9,1.0,0.3333333333333333,0.4,0.3333333333333333,0.9911111111111113
16,1.0,1.0,0.25,0.2,0.5,0.9966666666666665
17,0.0,1.0,0.5555555555555556,1.0,0.0,0.9995555555555555
17,0.1,1.0,0.7142857142857143,1.0,0.0,0.9966666666666667
17,0.2,1.0,0.5555555555555556,1.0,0.0,0.9995555555555555
17,0.3,1.0,0.625,1.0,0.0,0.9997777777777778
17,0.4,1.0,0.625,1.0,0.0,1.0
17,0.5,1.0,0.625,1.0,0.0,0.9982222222222223
17,0.6,1.0,0.625,1.0,0.0,0.9993333333333334
17,0.7,1.0,1.0,0.8,0.0,0.9964444444444445
17,0.8,1.0,0.4444444444444444,0.8,0.2222222222222222,0.9971111111111112
17,0.9,1.0,0.375,0.6,0.25,0.9960000000000001
17,1.0,1.0,0.375,0.6,0.25,0.9942222222222222
18,0.0,1.0,0.5,0.8,0.0,0.9966666666666668
18,0.1,1.0,0.5,0.8,0.0,0.9948888888888888
18,0.2,1.0,0.7142857142857143,1.0,0.0,0.9964444444444445
18,0.3,1.0,1.0,1.0,0.0,0.9968888888888887
18,0.4,1.0,1.0,1.0,0.0,0.9971111111111111
18,0.5,1.0,1.0,1.0,0.0,0.9971111111111112
18,0.6,1.0,0.5,0.8,0.125,0.9780000000000001
18,0.7,1.0,0.2222222222222222,0.4,0.3333333333333333,0.9671111111111111
18,0.8,1.0,0.2857142857142857,0.4,0.42857142857142855,0.9737777777777777
18,0.9,1.0,0.25,0.4,0.375,0.9713333333333335
18,1.0,1.0,0.2857142857142857,0.4,0.42857142857142855,0.9668888888888889
19,0.0,1.0,0.1111111111111111,0.2,0.0,0.9966666666666667
19,0.1,1.0,0.2222222222222222,0.4,0.0,0.9982222222222223
19,0.2,1.0,0.2222222222222222,0.4,0.0,0.9959999999999999
19,0.3,1.0,0.25,0.4,0.0,0.9948888888888889
19,0.4,1.0,0.2222222222222222,0.4,0.1111111111111111,0.9984444444444446
19,0.5,1.0,0.2222222222222222,0.4,0.1111111111111111,0.9966666666666667
19,0.6,1.0,0.2222222222222222,0.4,0.0,0.9975555555555555
19,0.7,1.0,0.2,0.4,0.0,0.9908888888888887
19,0.8,1.0,0.1111111111111111,0.2,0.1111111111111111,0.9944444444444445
19,0.9,1.0,0.2222222222222222,0.4,0.2222222222222222,0.9902222222222223
19,1.0,1.0,0.3,0.6,0.3,0.9888888888888889
